<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.18	04:00:00	1900.062	1900.364	1897.298	1899.527	3928	0	200
2023.01.18	05:00:00	1899.502	1899.502	1896.559	1897.874	3921	0	200
2023.01.18	06:00:00	1897.843	1904.240	1897.747	1902.916	4929	0	200
2023.01.18	07:00:00	1902.946	1908.980	1902.882	1907.739	6622	0	200
2023.01.18	08:00:00	1907.741	1914.878	1907.741	1912.145	6022	0	200
2023.01.18	09:00:00	1912.177	1915.892	1910.161	1914.796	4511	0	200
2023.01.18	10:00:00	1914.789	1914.909	1911.196	1914.331	4071	0	200
2023.01.18	11:00:00	1914.328	1916.735	1914.039	1915.614	3695	0	200
2023.01.18	12:00:00	1915.584	1917.994	1914.833	1917.288	4215	0	200
2023.01.18	13:00:00	1917.253	1924.100	1916.189	1921.296	11077	0	200
2023.01.18	14:00:00	1921.261	1925.862	1918.643	1921.320	13386	0	200
2023.01.18	15:00:00	1921.355	1922.028	1911.353	1912.264	10350	0	200
2023.01.18	16:00:00	1912.234	1912.739	1905.838	1908.405	8123	0	200
2023.01.18	17:00:00	1908.436	1908.841	1901.547	1905.245	7079	0	200
2023.01.18	18:00:00	1905.276	1906.403	1903.836	1904.928	5191	0	200
2023.01.18	19:00:00	1904.909	1905.242	1903.055	1905.061	3664	0	200
2023.01.18	20:00:00	1905.092	1905.092	1902.275	1903.378	3716	0	200
2023.01.18	21:00:00	1903.409	1905.075	1903.081	1904.111	1891	0	200
2023.01.18	23:00:00	1903.962	1907.306	1903.093	1906.818	2413	0	200
2023.01.19	00:00:00	1906.848	1909.477	1904.959	1905.060	3858	0	200
2023.01.19	01:00:00	1905.093	1907.206	1901.328	1901.891	5275	0	200
2023.01.19	02:00:00	1901.907	1907.580	1900.950	1907.132	3786	0	200
2023.01.19	03:00:00	1907.130	1910.754	1906.704	1908.980	3881	0	200
2023.01.19	04:00:00	1908.950	1910.890	1908.644	1909.729	2869	0	200
2023.01.19	05:00:00	1909.759	1910.200	1908.159	1910.029	3579	0	200
2023.01.19	06:00:00	1909.998	1911.125	1907.919	1908.573	3426	0	200
2023.01.19	07:00:00	1908.605	1912.885	1906.368	1911.319	5056	0	200
2023.01.19	08:00:00	1911.350	1916.715	1910.393	1912.586	5327	0	200
2023.01.19	09:00:00	1912.570	1912.668	1909.589	1910.306	3923	0	200
2023.01.19	10:00:00	1910.340	1910.549	1906.768	1909.524	4191	0	200
2023.01.19	11:00:00	1909.559	1910.218	1906.618	1908.096	4025	0	200
2023.01.19	12:00:00	1908.095	1911.347	1907.432	1908.018	4616	0	200
2023.01.19	13:00:00	1908.041	1913.409	1906.807	1913.158	9798	0	200
2023.01.19	14:00:00	1913.191	1918.115	1912.770	1917.476	9330	0	200
2023.01.19	15:00:00	1917.509	1923.253	1915.761	1918.032	9221	0	200
2023.01.19	16:00:00	1918.064	1922.151	1917.619	1920.721	5673	0	200
2023.01.19	17:00:00	1920.712	1923.199	1918.337	1920.057	5346	0	200
2023.01.19	18:00:00	1920.051	1925.607	1919.796	1924.975	5793	0	200
2023.01.19	19:00:00	1925.005	1931.358	1923.681	1929.653	6031	0	200
2023.01.19	20:00:00	1929.620	1935.129	1929.281	1933.469	5395	0	200
2023.01.19	21:00:00	1933.435	1933.586	1931.267	1932.156	2154	0	200
2023.01.19	23:00:00	1931.615	1933.931	1931.285	1931.680	2124	0	200
2023.01.20	00:00:00	1931.683	1932.048	1930.249	1930.444	2676	0	200
2023.01.20	01:00:00	1930.457	1934.797	1929.381	1931.659	4432	0	200
2023.01.20	02:00:00	1931.628	1932.478	1929.342	1929.608	3557	0	200
2023.01.20	03:00:00	1929.605	1930.303	1927.466	1927.535	2554	0	200
2023.01.20	04:00:00	1927.539	1927.747	1923.759	1923.777	2871	0	200
2023.01.20	05:00:00	1923.769	1927.981	1923.156	1927.883	3452	0	200
2023.01.20	06:00:00	1927.901	1929.194	1926.180	1926.495	3249	0	200
2023.01.20	07:00:00	1926.527	1933.047	1926.342	1933.026	4427	0	200
2023.01.20	08:00:00	1932.982	1937.383	1928.201	1928.506	5523	0	200
2023.01.20	09:00:00	1928.517	1932.474	1926.506	1929.391	4975	0	200
2023.01.20	10:00:00	1929.371	1930.850	1927.594	1929.984	4676	0	200
2023.01.20	11:00:00	1929.980	1931.326	1926.795	1927.021	3940	0	200
2023.01.20	12:00:00	1926.959	1929.152	1926.715	1928.667	4688	0	200
2023.01.20	13:00:00	1928.662	1929.488	1923.870	1924.108	6914	0	200
2023.01.20	14:00:00	1924.147	1926.377	1920.580	1925.029	8960	0	200
2023.01.20	15:00:00	1925.060	1930.914	1923.698	1926.318	7566	0	200
2023.01.20	16:00:00	1926.352	1928.940	1924.289	1924.826	5751	0	200
2023.01.20	17:00:00	1924.856	1926.474	1922.787	1925.111	4250	0	200
2023.01.20	18:00:00	1925.143	1929.595	1924.704	1929.400	5064	0	200
2023.01.20	19:00:00	1929.369	1930.959	1928.252	1929.653	3377	0	200
2023.01.20	20:00:00	1929.629	1929.944	1927.010	1927.137	3301	0	200
2023.01.20	21:00:00	1927.134	1927.480	1925.883	1925.883	1723	0	200
2023.01.22	23:00:00	1924.243	1927.327	1924.189	1927.258	2521	0	200
2023.01.23	00:00:00	1927.232	1932.467	1927.232	1932.245	3356	0	200
2023.01.23	01:00:00	1932.215	1933.706	1930.396	1932.425	3470	0	200
2023.01.23	02:00:00	1932.416	1935.466	1931.740	1931.804	2712	0	200
2023.01.23	03:00:00	1931.834	1933.100	1930.598	1930.603	2452	0	200
2023.01.23	04:00:00	1930.600	1931.158	1928.638	1929.528	2343	0	200
2023.01.23	05:00:00	1929.516	1929.786	1926.021	1926.136	2671	0	200
2023.01.23	06:00:00	1926.103	1926.429	1921.068	1922.634	3683	0	200
2023.01.23	07:00:00	1922.601	1923.182	1919.641	1920.224	5220	0	200
2023.01.23	08:00:00	1920.258	1927.382	1918.778	1923.864	6092	0	200
2023.01.23	09:00:00	1923.902	1925.943	1922.013	1925.923	4053	0	200
2023.01.23	10:00:00	1925.931	1929.315	1925.826	1926.344	4200	0	200
2023.01.23	11:00:00	1926.335	1926.532	1924.129	1925.518	3640	0	200
2023.01.23	12:00:00	1925.548	1927.785	1923.079	1926.577	4138	0	200
2023.01.23	13:00:00	1926.546	1927.700	1918.715	1921.920	7195	0	200
2023.01.23	14:00:00	1921.890	1923.965	1913.245	1916.648	11815	0	200
2023.01.23	15:00:00	1916.681	1924.293	1911.296	1922.923	10081	0	200
2023.01.23	16:00:00	1922.953	1926.306	1921.116	1922.183	6899	0	200
2023.01.23	17:00:00	1922.202	1924.123	1919.128	1923.821	5191	0	200
2023.01.23	18:00:00	1923.856	1929.596	1923.732	1927.742	4754	0	200
2023.01.23	19:00:00	1927.771	1929.034	1924.758	1926.375	3781	0	200
2023.01.23	20:00:00	1926.407	1931.682	1925.960	1931.136	4263	0	200
2023.01.23	21:00:00	1931.081	1931.628	1930.470	1931.264	1683	0	200
2023.01.23	23:00:00	1930.862	1932.692	1930.862	1931.325	1659	0	200
2023.01.24	00:00:00	1931.313	1932.607	1930.770	1930.770	2320	0	200
